step,loss,fit,kl,normW,logdetV,sigma2,rhoW,val_bound
191,-1389.5032814007911,-1395.5023450086378,5.747230671356245,0.5376342539731153,-21.54203512931074,0.10597659798755588,0.08909866432909992,nan
192,-1390.0869122073664,-1396.1175625882688,5.7783564838123125,0.5387376309514885,-21.577650527435164,0.10587597540750583,0.08883108177694941,nan
193,-1390.5522363298219,-1396.6784985386698,5.873511337028241,0.5396427702068881,-21.613281893570985,0.10577544427388123,0.08871107421229944,nan
194,-1391.24055963939,-1397.3026501420845,5.808889898937774,0.5401944835641489,-21.64893887688449,0.10567500409695489,0.08885278024953405,nan
195,-1391.8811839315927,-1397.926858655865,5.792025858613464,0.5406714529515518,-21.68460281201574,0.10557465498678839,0.08917720398352007,nan
196,-1392.5674962137896,-1398.5414328520105,5.719841326583273,0.5410624773022125,-21.720265635870717,0.10547439716892283,0.0894764971878949,nan
197,-1393.1943491050013,-1399.1680887342714,5.7192046168315915,0.5411419994455756,-21.755923955742933,0.10537423092346496,0.08965682944986948,nan
198,-1393.788389989145,-1399.7679708326273,5.724607466786743,0.5411650810261807,-21.791568971645074,0.10527415609616002,0.09000421600481034,nan
199,-1394.2461721371224,-1400.3116228811416,5.810043687303839,0.5409797947517603,-21.827195860902677,0.10517417259617116,0.0903760528419936,nan
200,-1394.7523577818586,-1400.8905321701936,5.882330159843242,0.5409515595873886,-21.862826380111773,0.10507427973656822,0.09070222063839657,nan
